track,tempo,score
"Cada Dia (feat. Emiliano Brancciari)",96.052,5.49300003051758
"Zaten Kırılmış Bir Kızsın",104.999,5.5
Lamborghini,124.071,5.96400022506714
"Your Body - Cat Dealers Extended",124.004,5.5
"Gehen wir rein",113.024,7.00600004196167
"El Perdedor",173.967,5.49300003051758
"Í Síðasta Skipti",129.959,7.50400018692017
"Hepsi Aşktan",93.011,5.5
"Una Lady Como Tú",94.983,5.49300003051758
"La Colegiala",107.985,7.3769998550415
Neighbors,138.944,7.28399991989136
"Saçlar",87.528,5.5
"My Shit",77.998,6.99300003051758
"今宵の月のように",116.01,5.92000007629395
"Writer In The Dark",71.855,7.28399991989136
"Hu Hu",120.016,5.5
"La musica non c'è",135.919,5.96400022506714
"Flex Like Ouu",141.993,6.99300003051758
Road,123.958,5.19500017166138
"Tu Maldita Madre (Tiradera a El Lapiz Conciente)",121.041,5.23000001907349
"Pray For Me",127.946,5.97300004959106
"Quédate Conmigo",98.003,5.49300003051758
"Black Barbies",146.02,7.28399991989136
Mamacita,177.944,7.52199983596802
"Halfway To The Halfway House (feat. Peven Everett)",114.874,6.71400022506714
Nemt,95.034,7.52199983596802
"Ville Mentality",119.976,6.97700023651123
"Screw & Brew",105.34,6.71400022506714
Forskel,100.468,7.52199983596802
Blackout,76.018,7.00600004196167
"Take Me Out",104.545,6.71400022506714
"Mele 7",105.012,7.00600004196167
"Það snjóar",64.195,7.50400018692017
"Don't Worry Be Happy",68.837,5.19500017166138
"En La Punta De La Lengua",105.972,5.49300003051758
Wejoow,130.044,7.3769998550415
Akad,91.507,5.26200008392334
"Coño",99.919,7.3769998550415
"Take What You Want (feat. 5 Seconds of Summer)",117.939,6.08400011062622
Destur,99.996,5.5
"Tam da Şu An",82.033,5.5
"Liikaa Sussa Kii",122.922,7.4689998626709
"Lo Que Tengo Yo",118.292,5.71500015258789
Energie,100.001,7.3769998550415
Ajajaj,99.027,7.00600004196167
"Look At Me!",139.059,5.22700023651123
"The Heat (I Wanna Dance With Somebody)",123.987,6.71400022506714
